TrafficModel.Traffic.1 	 starts 	 TrafficModel.Traffic.1 	 at time 0.0.
TrafficModel.Traffic.1 	 establish x = 150.0, y = 10.0 	 Sink.north_sink.4 	 at time 0.0.
TrafficModel.Traffic.1 	 establish x = 900.0, y = 600.0 	 Source.embarcadero_entrance.3 	 at time 0.0.
TrafficModel.Traffic.1 	 establish x = 850.0, y = 650.0 	 Source.south_source.2 	 at time 0.0.
TrafficModel.Traffic.1 	 establish x = 800.0, y = 600.0 	 Junction.s_ent_j.5 	 at time 0.0.
TrafficModel.Traffic.1 	 establish x = 10.0, y = 10.0 	 Source.north_source.12 	 at time 0.0.
TrafficModel.Traffic.1 	 establish x = 750.0, y = 700.0 	 Sink.south_sink.13 	 at time 0.0.
TrafficModel.Traffic.1 	 establish x = 660.0, y = 700.0 	 Sink.embarcadero_exit.14 	 at time 0.0.
TrafficModel.Traffic.1 	 establish x = 10.0, y = 100.0 	 Source.willowrd_src.30 	 at time 0.0.
TrafficModel.Traffic.1 	 establish x = 250.0, y = 10.0 	 Sink.willowrd_sink.22 	 at time 0.0.
TrafficModel.Traffic.1 	 establish x = 700.0, y = 650.0 	 Junction.n_ex_j.15 	 at time 0.0.
TrafficModel.Traffic.1 	 establish x = 250.0, y = 100.0 	 Junction.w_ex_j.23 	 at time 0.0.
TrafficModel.Traffic.1 	 establish x = 150.0, y = 150.0 	 Junction.w_ent_j.31 	 at time 0.0.
TrafficModel.Traffic.1 	 establish x = 525.0, y = 290.0 	 Source.uni_n_src.46 	 at time 0.0.
TrafficModel.Traffic.1 	 establish x = 450.0, y = 270.0 	 Junction.uni_n_ent_j.47 	 at time 0.0.
TrafficModel.Traffic.1 	 establish x = 400.0, y = 425.0 	 Sink.uni_s_sink.59 	 at time 0.0.
TrafficModel.Traffic.1 	 establish x = 375.0, y = 350.0 	 Junction.uni_s_ex_j.60 	 at time 0.0.
TrafficModel.Traffic.1 	 establish x = 500.0, y = 465.0 	 Junction.uni_s_ent_j.67 	 at time 0.0.
TrafficModel.Traffic.1 	 establish x = 430.0, y = 450.0 	 Source.uni_s_src.78 	 at time 0.0.
TrafficModel.Traffic.1 	 establish x = 380.0, y = 355.0 	 Transport.uni_s_exit.61 	 at time 0.0.
TrafficModel.Traffic.1 	 establish x = 390.15584796231326, y = 343.96103482357256 	 Route.s_t_uni_ent.68 	 at time 0.0.
TrafficModel.Traffic.1 	 establish x = 440.0, y = 460.0 	 Transport.uni_s_ent.79 	 at time 0.0.
TrafficModel.Traffic.1 	 establish x = 550.0, y = 310.0 	 Sink.uni_n_sink.38 	 at time 0.0.
TrafficModel.Traffic.1 	 establish x = 580.0, y = 400.0 	 Junction.uni_n_ex_j.39 	 at time 0.0.
TrafficModel.Traffic.1 	 establish x = 585.0, y = 405.0 	 Transport.uni_n_exit.40 	 at time 0.0.
TrafficModel.Traffic.1 	 establish x = 794.9099080900553, y = 616.0991011009392 	 Route.n_t_uni.41 	 at time 0.0.
TrafficModel.Traffic.1 	 establish x = 164.9654575824488, y = 143.78886021974512 	 Route.s_t_uni_ex.62 	 at time 0.0.
TrafficModel.Traffic.1 	 establish x = 30.606601717798213, y = 9.393398282201789 	 Route.s_road.32 	 at time 0.0.
